Topic,Terms
21,"his neuromuscular disease gradual, progressive weakness of the left upper extremity weakness in the right upper extremity Mild gait ataxia ALS portion easternmost leaving northernmost put liberal diseases ambling party weak continuation lower nosocomial worries but loping infection neurodegenerative back accelerated"
22,mild intellectual disability learning disabilities a small gap fragile X syndrome an X-linked disorder The defect an unstable expansion of trinucleotide repeats (CGG) in the fragile X mental retardation 1 (FMR1) gene intact dangerously unusually disorders consolidation shaky occupational suspected genes congenital physical mutations milder disabilities teaching skills rupture knowledge expanding tuesdays mental cultural disability smaller narrowing disorder terrorist defects wider trauma large wednesdays isolated traumatic
23,gritty sensation in her eyes difficulty swallowing dry foods pain heartburn her mouth dryness occasional joint pain the confirmed Sjogren disease other rheumatologic disease conjunctival erythema cracking of the lips elevated ESR jointly stress difficulties wet ear beverages visible wasting water diseases lip crack suffering arterial injecting frequent usual degassing edgy indicated flanger cheeks cooperation painkillers lips infection indigestion sensations eye tongue clamping hip lack coldness confirm products
24,oculocutaneous albinism complications iris transillumination apparent foveae indication possibility debilitating salicylate illness
25,intermittent ear discharge hearing loss on her left ear obesity hyperlipidemia diabetes mellitus a small perforation in the left tympanic membrane a pearly mass behind the membrane Conduction hearing loss mortality incessant leaving extracellular bathrobes perforations throat hyperlipidemia discharges demonstration cancer losing proceedings maximum diabetes ears membranes hypertension duikers smaller appeals losses bowel sporadic of back large dyslipidemia actinolite
26,progressive fatigue decreased appetite 11-lb weight loss the previously diagnosed Hashimoto disease other medical conditions a generalized increase in pigmentation of the skin primary adrenal insufficiency Addison disease) tissue salivary secondary lbs liberal coloration reduced prostate dt diseases venous losing party leukemia discoloration increased pains medicine addition medulla initially health infection regression weights affect losses headaches generalised increases due decrease breast although
27,rash on her left arm The lesion mildly pruritic painful The lesion erythema migrans Lyme disease lesions tumor leaving debilitating predictably back gadh diseases finger infection wrenching hand nasty spate shockingly
28,nosebleeds heavy menses occasional gum bleeding menorrhagia increased bleeding time slightly increased partial thromboplastin time other medical conditions chewing guar migraines throat light parturition termination reduced ground increase removal frequent usual stomach corvee flat medicine health menstruation somewhat affect due itching when
29,constipation lower back pain trauma The pain low back pain rapid contraction of the anal sphincter Cauda Equina syndrome stress diarrhea decline vaginal less congenital shrinkage higher saloum suffering low mental dorsal nausea coupled disorder zeta traumatic accelerated
30,pain in the calf and knee The pain osteoarthritis a small effusion in the right knee The effusion a tender swelling in the popliteal fossa and calf the pain swelling rheumatoid stress put pericardial ankle swollen cooked suffering pleural but thigh ospedale smaller arthritis bleeding dried pterygium groin large margaritifer elbow
31,clumsiness indecisiveness persuasiveness
32,azoospermia recurrent pneumonia shortness of breath persistent cough thick sputum multiple lung infections other medical conditions allergies clubbing bilateral absence of the vas deferens respiratory breathing vas thin coagulated coughing colds smell aches chronic despite asthma sevak types medicine various health cooperation recurring infection dizziness disease affect relations chorionic due allergic clubbed kidney covered deferens illness
33,myopia long upper extremities and fingers narrow down-slanted palpebral fissures flattened malar bones a small jaw organomegaly Marfan syndrome slanting teeth pockmarked juergensen flandres congenital tilted toes bone densely neck schisms skull edge pelvis finger splenic smaller rifts broad disorder large
34,right elbow pain The pain eczema pain on the lateral side this pain knee stress anterior medial suffering atopic ankle
35,recently painful menstrual cycles pain uniformly enlarged tender adenomyosis phases newly dried cooked debilitating identically stress been unevenly has synchrony partially wrenching menstruation suffering cycle
36,dizziness occasional nausea ringing in her right ear difficulty hearing The dizziness hypothyroidism low vit D level sensorineural hearing loss in the left ear leaving put difficulties palpitations hyperthyroidism levels throat less losing higher proceedings ears frequent usual vomiting loudspeakers but nausea dizziness appeals losses back lack
37,weight gain fatigue DM type 2 HTN symmetric proximal muscle weakness of the upper and lower extremities endogenous Cushing Syndrome muscles portion peptides reduced tubule isomorphic exogenous higher gaining weak types pains distal lower low pelvis worries commonly weights headaches abdominal advantage
38,hand tremor his tremor similar problems other medical conditions bilateral tremor in the upper extremities essential tremor portion put difficulties example hands ensuring aftershock medicine lower pelvis problem health instance cooperation vital affect relations temblor due
39,a hip fracture occasional back pain mild compression fracture at the level abnormally low bone density in the lumbar vertebrae osteoporosis tissue stress lossy alarmingly postmenopausal unusually levels bones less pop fractures higher hop milder unnaturally suffering lossless frequent usual width measured pelvis vertebra arthritis puncture
40,prolonged oral bleeding the bleeding heavy menstrual cycles other medical problems excessive bleeding during menstrual period mild bruising on his legs an abnormal ristocetin cofactor assay induced beginning undue difficulties synchrony colorimetric unusually throat light assays excess sudden ground protracted pyridoxal abnormalities milder steelmaking cycle toes stomach debilitating medicine problem health acupuncture menstruation phases infighting nose periods treatment
41,an acute vision disturbance vision disturbance in the right eye right jaw pain fatigue hip muscle aches mild hyperlipidemia multinuclear giant cells internal elastic membrane fragmentation muscles respiratory put biggest deformation extracellular unusually problems eyes sense pop chronic viscous hop milder thunderstorm membranes pains concept but degradation disturbances cell headaches abdominal resultant chest tissues conglomerate external dyslipidemia actinolite
42,short stature overweight body habitus low-set ears a high arched palate a webbed neck cubitus valgus longish supination long ear bodies hyperextension throat palates making less higher level blood arches ambition low abhinaya opening sets fingers cleft stubby nose
43,skin rash oral ulcers The rashes mildly itchy other medical conditions pink papules some white ulcerated papules on her buccal mucosa prominent hyperkeratosis a thickened granular layer an infiltration of mononuclear cells in the superficial dermis a sawtooth appearance facial cochlea ulceration tissue layers coating leuser black dorsiflexion thickens desquamation infiltrating siskiyou shows influential phagocytic hyperpigmentation epidermis peridium appeared powder treatment macules blisters medicine infiltrations peptic whose health acupuncture browned nausea spate shockingly imperfections cavity affect pustules cell blue phagocytes predictably due tissues breast gums scratchy purple nasty
44,heartburn acid reflux mild tenderness in upper stomach an air-fluid opacity behind the heart the stomach portion playfulness gastroesophageal signification unusually throat sweetness aircraft viscous flying milder suffering pain ulcers lower painkillers bleeding indigestion hydrofluoric fluids sulfuric flatness
45,flat facies small ears a single palmar crease upward slanting eyes the trisomy of chromosome 21 Down syndrome slanted double ear thin monosomy congenital downward mutations upwards granulite chromosomes lips smaller fingers squinting eye disorder greenschist large one slightly
46,cough body ache fever chills low grade fever tired sleepy His body ache myalgia positive lymphadenopathy white exudates in the pharynx excitotoxicity black secondary bodies feel grades coughing colds desolate pneumonia less aches higher blood scared larynx lymphadenitis fevers gingivitis
47,facial redness the redness multiple papules pustules erythema telangiectasias other lesions nodules discoloration pustules cysts types macules itchiness papules piercings deformities tumors lesion various quicklime
48,bleeding The bleeding Hemophilia type A Hemophilia type A a lipoma on his left arm stomach types agylla leaving back finger commonly hand throat frugivore
49,difficulty swallowing both liquids occasional cough difficulty lifting her arms above her head The weakness prior medical problems an erythematous rash on the upper eyelids some red papules over joints positive perifascicular inflammation atrophy of the fascicle blood vessels muscles portion gels chief papules difficulties flammable wasting sanctions coughing colds following eyelid fascicles negative injecting frequent usual weak heads macules medicine lower causes worries problem health ships edema infection degeneration spate yellow ribs carpel vessel pustules abdominal blue heart due shown lack lift pruritic weapons hand nasty drooping
50,progressive memory loss hypertension hyperlipidemia type 2 diabetes mellitus Alzheimer disease diffuse cortical and hippocampal atrophy AD thickening cortical hippocampal liberal cancer diseases physical losing party diabetes types hypertension commonly pulmonary edema infection degeneration latent losses personal
